SKU,Product_Name,Category,Current_Stock,Cost_Per_Unit,Supplier,Defect_Rate,Lead_Time_Days,Sales_Date,Quantity_Sold
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-11-30,13
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-01,6
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-02,9
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-03,8
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-04,9
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-05,6
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-06,12
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-07,17
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-08,4
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-09,8
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-10,7
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-11,6
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-12,11
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-13,11
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-14,8
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-15,7
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-16,12
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-17,6
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-18,10
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-19,5
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-20,8
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-21,8
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-22,9
SKU-001,Basmati Rice 10kg,Groceries,45,650,AgroFoods Ltd,0.02,7,2025-12-23,4
